t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,class
112,118,132,129,121,135,148,148,136,119,104,118,0
118,132,129,121,135,148,148,136,119,104,118,115,0
132,129,121,135,148,148,136,119,104,118,115,126,0
129,121,135,148,148,136,119,104,118,115,126,141,0
121,135,148,148,136,119,104,118,115,126,141,135,0
135,148,148,136,119,104,118,115,126,141,135,125,0
148,148,136,119,104,118,115,126,141,135,125,149,0
148,136,119,104,118,115,126,141,135,125,149,170,0
136,119,104,118,115,126,141,135,125,149,170,170,0
119,104,118,115,126,141,135,125,149,170,170,158,0
104,118,115,126,141,135,125,149,170,170,158,133,0
118,115,126,141,135,125,149,170,170,158,133,114,0
115,126,141,135,125,149,170,170,158,133,114,140,0
126,141,135,125,149,170,170,158,133,114,140,145,0
141,135,125,149,170,170,158,133,114,140,145,150,0
135,125,149,170,170,158,133,114,140,145,150,178,0
125,149,170,170,158,133,114,140,145,150,178,163,0
149,170,170,158,133,114,140,145,150,178,163,172,0
170,170,158,133,114,140,145,150,178,163,172,178,1
170,158,133,114,140,145,150,178,163,172,178,199,1
158,133,114,140,145,150,178,163,172,178,199,199,0
133,114,140,145,150,178,163,172,178,199,199,184,0
114,140,145,150,178,163,172,178,199,199,184,162,0
140,145,150,178,163,172,178,199,199,184,162,146,0
145,150,178,163,172,178,199,199,184,162,146,166,0
150,178,163,172,178,199,199,184,162,146,166,171,0
178,163,172,178,199,199,184,162,146,166,171,180,0
163,172,178,199,199,184,162,146,166,171,180,193,0
172,178,199,199,184,162,146,166,171,180,193,181,0
178,199,199,184,162,146,166,171,180,193,181,183,1
199,199,184,162,146,166,171,180,193,181,183,218,1
199,184,162,146,166,171,180,193,181,183,218,230,1
184,162,146,166,171,180,193,181,183,218,230,242,1
162,146,166,171,180,193,181,183,218,230,242,209,0
146,166,171,180,193,181,183,218,230,242,209,191,0
166,171,180,193,181,183,218,230,242,209,191,172,0
171,180,193,181,183,218,230,242,209,191,172,194,1
180,193,181,183,218,230,242,209,191,172,194,196,1
193,181,183,218,230,242,209,191,172,194,196,196,1
181,183,218,230,242,209,191,172,194,196,196,236,1
183,218,230,242,209,191,172,194,196,196,236,235,1
218,230,242,209,191,172,194,196,196,236,235,229,1
230,242,209,191,172,194,196,196,236,235,229,243,1
242,209,191,172,194,196,196,236,235,229,243,264,1
209,191,172,194,196,196,236,235,229,243,264,272,1
191,172,194,196,196,236,235,229,243,264,272,237,1
172,194,196,196,236,235,229,243,264,272,237,211,0
194,196,196,236,235,229,243,264,272,237,211,180,1
196,196,236,235,229,243,264,272,237,211,180,201,1
196,236,235,229,243,264,272,237,211,180,201,204,0
236,235,229,243,264,272,237,211,180,201,204,188,1
235,229,243,264,272,237,211,180,201,204,188,235,1
229,243,264,272,237,211,180,201,204,188,235,227,1
243,264,272,237,211,180,201,204,188,235,227,234,1
264,272,237,211,180,201,204,188,235,227,234,264,3
272,237,211,180,201,204,188,235,227,234,264,302,3
237,211,180,201,204,188,235,227,234,264,302,293,1
211,180,201,204,188,235,227,234,264,302,293,259,1
180,201,204,188,235,227,234,264,302,293,259,229,1
201,204,188,235,227,234,264,302,293,259,229,203,1
204,188,235,227,234,264,302,293,259,229,203,229,1
188,235,227,234,264,302,293,259,229,203,229,242,1
235,227,234,264,302,293,259,229,203,229,242,233,1
227,234,264,302,293,259,229,203,229,242,233,267,1
234,264,302,293,259,229,203,229,242,233,267,269,1
264,302,293,259,229,203,229,242,233,267,269,270,3
302,293,259,229,203,229,242,233,267,269,270,315,4
293,259,229,203,229,242,233,267,269,270,315,364,3
259,229,203,229,242,233,267,269,270,315,364,347,3
229,203,229,242,233,267,269,270,315,364,347,312,1
203,229,242,233,267,269,270,315,364,347,312,274,1
229,242,233,267,269,270,315,364,347,312,274,237,3
242,233,267,269,270,315,364,347,312,274,237,278,3
233,267,269,270,315,364,347,312,274,237,278,284,3
267,269,270,315,364,347,312,274,237,278,284,277,3
269,270,315,364,347,312,274,237,278,284,277,317,3
270,315,364,347,312,274,237,278,284,277,317,313,3
315,364,347,312,274,237,278,284,277,317,313,318,4
364,347,312,274,237,278,284,277,317,313,318,374,4
347,312,274,237,278,284,277,317,313,318,374,413,4
312,274,237,278,284,277,317,313,318,374,413,405,3
274,237,278,284,277,317,313,318,374,413,405,355,3
237,278,284,277,317,313,318,374,413,405,355,306,1
278,284,277,317,313,318,374,413,405,355,306,271,3
284,277,317,313,318,374,413,405,355,306,271,306,3
277,317,313,318,374,413,405,355,306,271,306,315,3
317,313,318,374,413,405,355,306,271,306,315,301,3
313,318,374,413,405,355,306,271,306,315,301,356,3
318,374,413,405,355,306,271,306,315,301,356,348,3
374,413,405,355,306,271,306,315,301,356,348,355,4
413,405,355,306,271,306,315,301,356,348,355,422,4
405,355,306,271,306,315,301,356,348,355,422,465,4
355,306,271,306,315,301,356,348,355,422,465,467,4
306,271,306,315,301,356,348,355,422,465,467,404,3
271,306,315,301,356,348,355,422,465,467,404,347,3
306,315,301,356,348,355,422,465,467,404,347,305,3
315,301,356,348,355,422,465,467,404,347,305,336,3
301,356,348,355,422,465,467,404,347,305,336,340,3
356,348,355,422,465,467,404,347,305,336,340,318,3
348,355,422,465,467,404,347,305,336,340,318,362,3
355,422,465,467,404,347,305,336,340,318,362,348,3
422,465,467,404,347,305,336,340,318,362,348,363,4
465,467,404,347,305,336,340,318,362,348,363,435,4
467,404,347,305,336,340,318,362,348,363,435,491,4
404,347,305,336,340,318,362,348,363,435,491,505,4
347,305,336,340,318,362,348,363,435,491,505,404,3
305,336,340,318,362,348,363,435,491,505,404,359,3
336,340,318,362,348,363,435,491,505,404,359,310,3
340,318,362,348,363,435,491,505,404,359,310,337,3
318,362,348,363,435,491,505,404,359,310,337,360,3
362,348,363,435,491,505,404,359,310,337,360,342,4
348,363,435,491,505,404,359,310,337,360,342,406,4
363,435,491,505,404,359,310,337,360,342,406,396,4
435,491,505,404,359,310,337,360,342,406,396,420,4
491,505,404,359,310,337,360,342,406,396,420,472,4
505,404,359,310,337,360,342,406,396,420,472,548,4
404,359,310,337,360,342,406,396,420,472,548,559,4
359,310,337,360,342,406,396,420,472,548,559,463,4
310,337,360,342,406,396,420,472,548,559,463,407,3
337,360,342,406,396,420,472,548,559,463,407,362,4
360,342,406,396,420,472,548,559,463,407,362,405,4
342,406,396,420,472,548,559,463,407,362,405,417,4
406,396,420,472,548,559,463,407,362,405,417,391,4
396,420,472,548,559,463,407,362,405,417,391,419,4
420,472,548,559,463,407,362,405,417,391,419,461,4
472,548,559,463,407,362,405,417,391,419,461,472,4
548,559,463,407,362,405,417,391,419,461,472,535,4
559,463,407,362,405,417,391,419,461,472,535,622,4
463,407,362,405,417,391,419,461,472,535,622,606,4
407,362,405,417,391,419,461,472,535,622,606,508,4
362,405,417,391,419,461,472,535,622,606,508,461,4
405,417,391,419,461,472,535,622,606,508,461,390,4
