cell1_1,cell1_2,cell1_3,cell2_1,cell2_2,cell2_3,cell3_1,cell3_2,cell3_3,class
2,0,0,1,1,1,0,0,2,1
2,0,0,1,2,2,1,1,1,1
2,0,0,2,1,2,1,1,1,1
2,0,0,2,2,1,1,1,1,1
2,0,0,2,0,0,1,1,1,1
2,0,0,0,2,0,1,1,1,1
2,0,0,0,0,2,1,1,1,1
0,1,1,2,1,2,1,2,0,1
0,1,1,2,1,2,1,0,2,1
0,1,1,2,1,2,2,1,0,1
0,1,1,2,1,2,0,1,2,1
0,1,1,2,1,0,1,2,2,1
0,1,1,2,1,0,2,1,2,1
0,1,1,2,2,1,2,0,1,1
0,1,1,2,2,1,0,2,1,1
0,1,1,2,0,1,2,2,1,1
0,1,1,0,1,2,1,2,2,1
0,1,1,0,1,2,2,1,2,1
0,1,1,0,2,1,2,2,1,1
0,1,2,1,1,1,2,2,0,1
0,1,2,1,1,1,2,0,2,1
0,1,2,1,1,1,0,2,2,1
0,1,2,1,1,2,2,1,0,1
0,1,2,1,1,0,2,1,2,1
0,1,2,2,1,1,2,1,0,1
0,1,2,2,1,1,0,1,2,1
0,1,2,2,1,2,1,1,0,1
0,1,2,2,1,2,0,1,1,1
0,1,2,2,1,0,1,1,2,1
0,1,2,2,1,0,2,1,1,1
0,1,2,2,1,0,0,1,0,1
0,1,2,2,2,0,1,1,1,1
0,1,2,2,0,2,1,1,1,1
0,1,2,0,1,1,2,1,2,1
0,1,2,0,1,2,2,1,1,1
0,1,2,0,1,2,0,1,0,1
0,1,2,0,1,0,2,1,0,1
0,1,2,0,1,0,0,1,2,1
0,1,2,0,2,2,1,1,1,1
0,1,0,1,1,2,2,1,2,1
0,1,0,2,1,1,2,1,2,1
0,1,0,2,1,2,1,1,2,1
0,1,0,2,1,2,2,1,1,1
0,1,0,2,1,2,0,1,0,1
0,1,0,2,1,0,2,1,0,1
0,1,0,2,1,0,0,1,2,1
0,1,0,0,1,2,2,1,0,1
0,1,0,0,1,2,0,1,2,1
0,1,0,0,1,0,2,1,2,1
0,2,1,1,1,1,2,2,0,1
0,2,1,1,1,1,2,0,2,1
0,2,1,1,1,1,0,2,2,1
0,2,1,1,1,2,1,2,0,1
0,2,1,1,1,2,1,0,2,1
0,2,1,1,1,0,1,2,2,1
0,2,1,1,2,1,2,0,1,1
0,2,1,1,0,1,2,2,1,1
0,2,1,2,1,1,1,2,0,1
0,2,1,2,1,1,1,0,2,1
0,2,1,2,1,1,2,0,1,1
0,2,1,2,1,1,0,2,1,1
0,2,1,2,1,2,1,1,0,1
0,2,1,2,1,2,1,0,1,1
0,2,1,2,1,0,1,1,2,1
0,2,1,2,1,0,1,2,1,1
0,2,1,2,1,0,1,0,0,1
0,2,1,2,2,1,1,0,1,1
0,2,1,2,2,1,0,1,1,1
0,2,1,2,2,0,1,1,1,1
0,2,1,2,0,1,1,2,1,1
0,2,1,2,0,1,2,1,1,1
0,2,1,2,0,1,0,0,1,1
0,2,1,2,0,2,1,1,1,1
0,2,1,0,1,1,1,2,2,1
0,2,1,0,1,1,2,2,1,1
0,2,1,0,1,2,1,1,2,1
0,2,1,0,1,2,1,2,1,1
0,2,1,0,1,2,1,0,0,1
0,2,1,0,1,0,1,2,0,1
0,2,1,0,1,0,1,0,2,1
0,2,1,0,2,1,2,1,1,1
0,2,1,0,2,1,0,0,1,1
0,2,1,0,2,2,1,1,1,1
0,2,1,0,0,1,2,0,1,1
0,2,1,0,0,1,0,2,1,1
0,2,2,1,1,1,1,2,0,1
0,2,2,1,1,1,1,0,2,1
0,2,2,1,1,1,2,1,0,1
0,2,2,1,1,1,2,0,1,1
0,2,2,1,1,1,0,1,2,1
0,2,2,1,1,1,0,2,1,1
0,2,2,1,1,1,0,0,0,1
0,2,2,1,2,0,1,1,1,1
0,2,2,1,0,2,1,1,1,1
0,2,2,2,1,0,1,1,1,1
0,2,2,2,0,1,1,1,1,1
0,2,2,0,1,2,1,1,1,1
0,2,2,0,2,1,1,1,1,1
0,2,2,0,0,0,1,1,1,1
0,2,0,1,1,1,1,2,2,1
0,2,0,1,1,1,2,1,2,1
0,2,0,1,1,1,2,2,1,1
0,2,0,1,1,1,2,0,0,1
0,2,0,1,1,1,0,2,0,1
0,2,0,1,1,1,0,0,2,1
0,2,0,1,2,2,1,1,1,1
0,2,0,2,1,2,1,1,1,1
0,2,0,2,2,1,1,1,1,1
0,2,0,2,0,0,1,1,1,1
0,2,0,0,2,0,1,1,1,1
0,2,0,0,0,2,1,1,1,1
0,0,1,1,1,2,1,2,2,1
0,0,1,1,2,1,2,2,1,1
0,0,1,2,1,1,1,2,2,1
0,0,1,2,1,1,2,2,1,1
0,0,1,2,1,2,1,1,2,1
0,0,1,2,1,2,1,2,1,1
0,0,1,2,1,2,1,0,0,1
0,0,1,2,1,0,1,2,0,1
0,0,1,2,1,0,1,0,2,1
0,0,1,2,2,1,1,2,1,1
0,0,1,2,2,1,2,1,1,1
0,0,1,2,2,1,0,0,1,1
0,0,1,2,0,1,2,0,1,1
0,0,1,2,0,1,0,2,1,1
0,0,1,0,1,2,1,2,0,1
0,0,1,0,1,2,1,0,2,1
0,0,1,0,1,0,1,2,2,1
0,0,1,0,2,1,2,0,1,1
0,0,1,0,2,1,0,2,1,1
0,0,1,0,0,1,2,2,1,1
0,0,2,1,1,1,1,2,2,1
0,0,2,1,1,1,2,1,2,1
0,0,2,1,1,1,2,2,1,1
0,0,2,1,1,1,2,0,0,1
0,0,2,1,1,1,0,2,0,1
0,0,2,1,1,1,0,0,2,1
0,0,2,1,2,2,1,1,1,1
0,0,2,2,1,2,1,1,1,1
0,0,2,2,2,1,1,1,1,1
0,0,2,2,0,0,1,1,1,1
0,0,2,0,2,0,1,1,1,1
0,0,2,0,0,2,1,1,1,1
0,0,0,1,1,1,2,2,0,1
0,0,0,1,1,1,2,0,2,1
0,0,0,1,1,1,0,2,2,1
0,0,0,2,2,0,1,1,1,1
0,0,0,2,0,2,1,1,1,1
0,0,0,0,2,2,1,1,1,1
1,1,2,1,1,2,2,0,2,0
1,1,2,1,1,2,0,2,2,0
1,1,2,1,1,0,2,2,2,0
1,1,2,1,2,1,2,2,0,0
1,1,2,1,2,1,2,0,2,0
1,1,2,1,2,2,2,1,0,0
1,1,2,1,2,2,2,0,1,0
1,1,2,1,2,2,0,1,2,0
1,1,2,1,2,0,2,1,2,0
1,1,2,1,2,0,2,2,1,0
1,1,2,1,2,0,2,0,0,0
1,1,2,1,0,1,2,2,2,0
1,1,2,1,0,2,2,1,2,0
1,1,2,1,0,2,0,0,2,0
1,1,2,2,1,2,1,0,2,0
1,1,2,2,2,1,2,1,0,0
1,1,2,2,2,1,2,0,1,0
1,1,2,2,2,2,1,1,0,0
1,1,2,2,2,2,1,0,1,0
1,1,2,2,2,2,0,1,1,0
1,1,2,2,2,0,2,1,1,0
1,1,2,2,0,2,1,1,2,0
1,1,2,0,1,1,2,2,2,0
1,1,2,0,1,2,1,2,2,0
1,1,2,0,1,2,0,0,2,0
1,1,2,0,2,1,2,1,2,0
1,1,2,0,2,1,2,2,1,0
1,1,2,0,2,1,2,0,0,0
1,1,2,0,2,2,1,1,2,0
1,1,2,0,2,2,2,1,1,0
1,1,2,0,2,0,2,1,0,0
1,1,2,0,2,0,2,0,1,0
1,1,2,0,0,2,1,0,2,0
1,1,2,0,0,2,0,1,2,0
1,1,0,1,1,2,2,2,2,0
1,1,0,1,2,1,2,2,2,0
1,1,0,1,0,0,2,2,2,0
1,1,0,2,1,1,2,2,2,0
1,1,0,2,2,2,1,1,2,0
1,1,0,2,2,2,1,2,1,0
1,1,0,2,2,2,1,0,0,0
1,1,0,2,2,2,2,1,1,0
1,1,0,2,2,2,0,1,0,0
1,1,0,2,2,2,0,0,1,0
1,1,0,0,1,0,2,2,2,0
1,1,0,0,0,1,2,2,2,0
1,2,1,1,1,0,2,2,2,0
1,2,1,1,2,1,2,2,0,0
1,2,1,1,2,1,0,2,2,0
1,2,1,1,2,2,0,2,1,0
1,2,1,1,2,0,2,2,1,0
1,2,1,1,2,0,0,2,0,0
1,2,1,1,0,1,2,2,2,0
1,2,1,2,2,1,1,2,0,0
1,2,1,2,2,2,1,1,0,0
1,2,1,2,2,2,1,0,1,0
1,2,1,2,2,2,0,1,1,0
1,2,1,2,2,0,1,2,1,0
1,2,1,0,1,1,2,2,2,0
1,2,1,0,2,1,1,2,2,0
1,2,1,0,2,1,0,2,0,0
1,2,1,0,2,2,1,2,1,0
1,2,1,0,2,0,1,2,0,0
1,2,1,0,2,0,0,2,1,0
1,2,2,1,1,2,0,1,2,0
1,2,2,1,2,1,2,1,0,0
1,2,2,1,2,1,2,0,1,0
1,2,2,1,2,1,0,2,1,0
1,2,2,1,2,0,2,1,1,0
1,2,2,0,1,2,1,1,2,0
1,2,2,0,2,1,1,2,1,0
1,2,2,0,2,1,2,1,1,0
1,2,0,1,2,1,2,2,1,0
1,2,0,1,2,1,0,2,0,0
1,2,0,1,2,0,0,2,1,0
1,2,0,2,2,1,1,2,1,0
1,2,0,0,2,1,1,2,0,0
1,2,0,0,2,1,0,2,1,0
1,2,0,0,2,0,1,2,1,0
1,0,1,1,1,2,2,2,2,0
1,0,1,1,2,1,2,2,2,0
1,0,1,1,0,0,2,2,2,0
1,0,1,2,1,1,2,2,2,0
1,0,1,2,2,2,1,1,2,0
1,0,1,2,2,2,1,2,1,0
1,0,1,2,2,2,1,0,0,0
1,0,1,2,2,2,2,1,1,0
1,0,1,2,2,2,0,1,0,0
1,0,1,2,2,2,0,0,1,0
1,0,1,0,1,0,2,2,2,0
1,0,1,0,0,1,2,2,2,0
1,0,2,1,1,2,2,1,2,0
1,0,2,1,1,2,0,0,2,0
1,0,2,1,2,1,2,1,2,0
1,0,2,1,2,1,2,2,1,0
1,0,2,1,2,1,2,0,0,0
1,0,2,1,2,2,2,1,1,0
1,0,2,1,2,0,2,1,0,0
1,0,2,1,2,0,2,0,1,0
1,0,2,1,0,2,0,1,2,0
1,0,2,2,1,2,1,1,2,0
1,0,2,2,2,1,2,1,1,0
1,0,2,0,1,2,1,0,2,0
1,0,2,0,1,2,0,1,2,0
1,0,2,0,2,1,2,1,0,0
1,0,2,0,2,1,2,0,1,0
1,0,2,0,2,0,2,1,1,0
1,0,2,0,0,2,1,1,2,0
1,0,0,1,1,0,2,2,2,0
1,0,0,1,0,1,2,2,2,0
1,0,0,2,2,2,1,1,0,0
1,0,0,2,2,2,1,0,1,0
1,0,0,2,2,2,0,1,1,0
1,0,0,0,1,1,2,2,2,0
2,1,1,1,1,0,2,2,2,0
2,1,1,1,2,1,2,0,2,0
2,1,1,1,2,1,0,2,2,0
2,1,1,1,2,2,1,0,2,0
2,1,1,1,2,2,0,1,2,0
2,1,1,1,2,0,1,2,2,0
2,1,1,1,2,0,2,1,2,0
2,1,1,1,2,0,0,0,2,0
2,1,1,1,0,1,2,2,2,0
2,1,1,2,1,1,2,2,0,0
2,1,1,2,1,1,2,0,2,0
2,1,1,2,1,2,2,0,1,0
2,1,1,2,1,0,2,2,1,0
2,1,1,2,1,0,2,0,0,0
2,1,1,2,2,1,1,0,2,0
2,1,1,2,2,1,2,1,0,0
2,1,1,2,2,1,0,1,2,0
2,1,1,2,2,2,1,1,0,0
2,1,1,2,2,2,1,0,1,0
2,1,1,2,2,2,0,1,1,0
2,1,1,2,2,0,1,1,2,0
2,1,1,2,2,0,2,1,1,0
2,1,1,2,0,1,2,1,2,0
2,1,1,2,0,1,2,0,0,0
2,1,1,2,0,2,2,1,1,0
2,1,1,2,0,0,2,1,0,0
2,1,1,2,0,0,2,0,1,0
2,1,1,0,1,1,2,2,2,0
2,1,1,0,2,1,1,2,2,0
2,1,1,0,2,1,2,1,2,0
2,1,1,0,2,1,0,0,2,0
2,1,1,0,2,2,1,1,2,0
2,1,1,0,2,0,1,0,2,0
2,1,1,0,2,0,0,1,2,0
2,1,2,1,1,2,1,0,2,0
2,1,2,1,2,1,1,0,2,0
2,1,2,1,2,1,2,1,0,0
2,1,2,1,2,1,2,0,1,0
2,1,2,1,2,1,0,1,2,0
2,1,2,1,2,0,1,1,2,0
2,1,2,1,2,0,2,1,1,0
2,1,2,1,0,2,1,1,2,0
2,1,2,2,1,1,2,0,1,0
2,1,2,2,0,1,2,1,1,0
2,1,2,0,2,1,1,1,2,0
2,1,2,0,2,1,2,1,1,0
2,1,0,1,2,1,1,2,2,0
2,1,0,1,2,1,2,1,2,0
2,1,0,1,2,1,0,0,2,0
2,1,0,1,2,2,1,1,2,0
2,1,0,1,2,0,1,0,2,0
2,1,0,1,2,0,0,1,2,0
2,1,0,2,1,1,2,2,1,0
2,1,0,2,1,1,2,0,0,0
2,1,0,2,1,0,2,0,1,0
2,1,0,2,2,1,1,1,2,0
2,1,0,2,2,1,2,1,1,0
2,1,0,2,0,1,2,1,0,0
2,1,0,2,0,1,2,0,1,0
2,1,0,2,0,0,2,1,1,0
2,1,0,0,2,1,1,0,2,0
2,1,0,0,2,1,0,1,2,0
2,1,0,0,2,0,1,1,2,0
2,2,1,1,2,1,1,2,0,0
2,2,1,1,2,1,1,0,2,0
2,2,1,1,2,1,0,1,2,0
2,2,1,1,2,0,1,1,2,0
2,2,1,1,2,0,1,2,1,0
2,2,1,2,1,1,2,1,0,0
2,2,1,2,1,0,2,1,1,0
2,2,1,0,2,1,1,1,2,0
2,2,2,1,1,2,1,1,0,0
2,2,2,1,1,2,1,0,1,0
2,2,2,1,1,2,0,1,1,0
2,2,2,1,1,0,1,1,2,0
2,2,2,1,1,0,1,2,1,0
2,2,2,1,1,0,1,0,0,0
2,2,2,1,1,0,2,1,1,0
2,2,2,1,1,0,0,1,0,0
2,2,2,1,1,0,0,0,1,0
2,2,2,1,2,1,1,1,0,0
2,2,2,1,2,1,1,0,1,0
2,2,2,1,2,1,0,1,1,0
2,2,2,1,0,1,1,1,2,0
2,2,2,1,0,1,1,2,1,0
2,2,2,1,0,1,1,0,0,0
2,2,2,1,0,1,2,1,1,0
2,2,2,1,0,1,0,1,0,0
2,2,2,1,0,1,0,0,1,0
2,2,2,1,0,0,1,1,0,0
2,2,2,1,0,0,1,0,1,0
2,2,2,1,0,0,0,1,1,0
2,2,2,2,1,1,1,1,0,0
2,2,2,2,1,1,1,0,1,0
2,2,2,2,1,1,0,1,1,0
2,2,2,0,1,1,1,1,2,0
2,2,2,0,1,1,1,2,1,0
2,2,2,0,1,1,1,0,0,0
2,2,2,0,1,1,2,1,1,0
2,2,2,0,1,1,0,1,0,0
2,2,2,0,1,1,0,0,1,0
2,2,2,0,1,0,1,1,0,0
2,2,2,0,1,0,1,0,1,0
2,2,2,0,1,0,0,1,1,0
2,2,2,0,0,1,1,1,0,0
2,2,2,0,0,1,1,0,1,0
2,2,2,0,0,1,0,1,1,0
2,2,0,1,2,1,1,1,2,0
2,2,0,1,2,1,1,2,1,0
2,2,0,2,1,1,2,1,1,0
2,0,1,1,2,1,1,2,2,0
2,0,1,1,2,1,2,1,2,0
2,0,1,1,2,1,0,0,2,0
2,0,1,1,2,2,1,1,2,0
2,0,1,1,2,0,1,0,2,0
2,0,1,1,2,0,0,1,2,0
2,0,1,2,1,1,2,1,2,0
2,0,1,2,1,1,2,0,0,0
2,0,1,2,1,2,2,1,1,0
2,0,1,2,1,0,2,1,0,0
2,0,1,2,1,0,2,0,1,0
2,0,1,2,2,1,1,1,2,0
2,0,1,2,0,1,2,1,0,0
2,0,1,2,0,0,2,1,1,0
2,0,1,0,2,1,1,0,2,0
2,0,1,0,2,1,0,1,2,0
2,0,1,0,2,0,1,1,2,0
2,0,2,1,1,2,1,1,2,0
2,0,2,1,2,1,1,1,2,0
2,0,2,1,2,1,2,1,1,0
2,0,2,2,1,1,2,1,1,0
2,0,0,1,2,1,1,0,2,0
2,0,0,1,2,1,0,1,2,0
2,0,0,1,2,0,1,1,2,0
2,0,0,2,1,1,2,1,0,0
2,0,0,2,1,1,2,0,1,0
2,0,0,2,1,0,2,1,1,0
2,0,0,2,0,1,2,1,1,0
2,0,0,0,2,1,1,1,2,0
0,1,1,1,1,2,2,2,2,0
0,1,1,1,2,1,2,2,2,0
0,1,1,1,0,0,2,2,2,0
0,1,1,2,1,1,2,2,2,0
0,1,1,2,2,2,1,1,2,0
0,1,1,2,2,2,1,2,1,0
0,1,1,2,2,2,1,0,0,0
0,1,1,2,2,2,2,1,1,0
0,1,1,2,2,2,0,1,0,0
0,1,1,2,2,2,0,0,1,0
0,1,1,0,1,0,2,2,2,0
0,1,1,0,0,1,2,2,2,0
0,1,2,1,1,2,1,2,2,0
0,1,2,1,1,2,0,0,2,0
0,1,2,1,2,1,2,1,2,0
0,1,2,1,2,1,2,2,1,0
0,1,2,1,2,1,2,0,0,0
0,1,2,1,2,2,1,1,2,0
0,1,2,1,2,2,2,1,1,0
0,1,2,1,2,0,2,1,0,0
0,1,2,1,2,0,2,0,1,0
0,1,2,1,0,2,1,0,2,0
0,1,2,1,0,2,0,1,2,0
0,1,2,2,2,1,2,1,1,0
0,1,2,0,1,2,1,0,2,0
0,1,2,0,2,1,2,1,0,0
0,1,2,0,2,1,2,0,1,0
0,1,2,0,2,0,2,1,1,0
0,1,2,0,0,2,1,1,2,0
0,1,0,1,1,0,2,2,2,0
0,1,0,1,0,1,2,2,2,0
0,1,0,2,2,2,1,1,0,0
0,1,0,2,2,2,1,0,1,0
0,1,0,2,2,2,0,1,1,0
0,1,0,0,1,1,2,2,2,0
0,2,1,1,2,1,1,2,2,0
0,2,1,1,2,1,0,2,0,0
0,2,1,1,2,2,1,2,1,0
0,2,1,1,2,0,1,2,0,0
0,2,1,1,2,0,0,2,1,0
0,2,1,0,2,1,1,2,0,0
0,2,1,0,2,0,1,2,1,0
0,2,2,1,1,2,1,1,2,0
0,2,2,1,2,1,1,2,1,0
0,2,2,1,2,1,2,1,1,0
0,2,0,1,2,1,1,2,0,0
0,2,0,1,2,1,0,2,1,0
0,2,0,1,2,0,1,2,1,0
0,2,0,0,2,1,1,2,1,0
0,0,1,1,1,0,2,2,2,0
0,0,1,1,0,1,2,2,2,0
0,0,1,2,2,2,1,1,0,0
0,0,1,2,2,2,1,0,1,0
0,0,1,2,2,2,0,1,1,0
0,0,1,0,1,1,2,2,2,0
0,0,2,1,1,2,1,0,2,0
0,0,2,1,1,2,0,1,2,0
0,0,2,1,2,1,2,1,0,0
0,0,2,1,2,1,2,0,1,0
0,0,2,1,2,0,2,1,1,0
0,0,2,1,0,2,1,1,2,0
0,0,2,0,1,2,1,1,2,0
0,0,2,0,2,1,2,1,1,0
1,1,2,2,1,1,1,2,2,0
1,1,2,2,2,1,1,1,2,0
1,1,2,2,2,1,1,2,1,0
1,2,1,1,1,2,2,1,2,0
1,2,1,1,2,1,2,1,2,0
1,2,1,1,2,2,2,1,1,0
1,2,1,2,1,1,2,1,2,0
1,2,1,2,2,1,1,1,2,0
1,2,2,2,1,1,1,1,2,0
2,1,1,1,1,2,2,2,1,0
2,1,1,1,2,2,1,2,1,0
2,1,1,1,2,2,2,1,1,0
2,1,2,1,1,2,1,2,1,0
2,1,2,1,2,1,1,2,1,0
2,1,2,2,1,1,1,2,1,0
2,2,1,1,1,2,2,1,1,0
